输入序号,输入地址,输入名称,通用输入编号,输出序号,输出地址,输出名称,通用输出编号
0,X0,急停(常闭),K1-IN0,0.0,Y0.0,绿灯,K1-OUT0
1,X1,停止,K1-IN1,1.0,Y1.0,黄灯,K1-OUT1
2,X2,启动,K1-IN2,2.0,Y2.0,红灯,K1-OUT2
3,X3,检测到料片信号,K1-IN3,3.0,Y3.0,蜂鸣器,K1-OUT3
4,X4,机械臂抓取完成信号,K1-IN4,4.0,Y4.0,主控启动信号,K1-OUT4
5,X5,下相机精定位完成信号,K1-IN5,5.0,Y5.0,开始,K1-OUT5
6,X6,机械臂定位完成信号,K1-IN6,6.0,Y6.0,停止,K1-OUT6
7,X7,移至扫码区到位信号,K1-IN7,7.0,Y7.0,复位,K1-OUT7
8,X8,机械臂放置完成信号,K1-IN8,8.0,Y8.0,暂停,K1-OUT8
9,X9,初始化信号,K1-IN9,9.0,Y9.0,发送扫码完成信号,K1-OUT9
10,X10,机械臂取料完成信号,K1-IN10,10.0,Y10.0,触发机械手放置料仓,K1-OUT10
11,X11,放入小车完成信号,K1-IN11,11.0,Y11.0,料仓1选择信号,K1-OUT11
12,X12,料仓1下限位置信号(常闭),K1-IN12,12.0,Y12.0,料仓2选择信号,K1-OUT12
13,X13,料仓2下限位置信号(常闭),K1-IN13,13.0,Y13.0,料仓3选择信号,K1-OUT13
14,X14,料仓3下限位置信号(常闭),K1-IN14,14.0,Y14.0,触发机械手皮带线允许取料,K1-OUT14
15,X15,机械手报警信号,K1-IN15,15.0,Y15.0,发送取料指令,K1-OUT15
16,X16,,K1-IN16,16.0,Y16.0,高速运行,K1-OUT16
17,X17,下相机报警信号,K1-IN17,17.0,Y17.0,发送放入小车指令,K1-OUT17
18,X18,,K1-IN18,,,,
19,X19,机械臂气缸报警信号,K1-IN19,,,,
20,X20,机械手忙碌状态信号,K1-IN20,,,,
21,X21,,K1-IN21,,,,
22,X22,,K1-IN22,,,,
23,X23,,K1-IN23,,,,
24,X24,前门电磁感应信号,K2-IN0,18.0,Y18.0,料仓1定位电磁阀,K2-OUT0
25,X25,后门电磁感应信号,K2-IN1,19.0,Y19.0,料仓1吹气电磁阀,K2-OUT1
26,X26,侧门电磁感应信号,K2-IN2,20.0,Y20.0,料仓2定位电磁阀,K2-OUT2
27,X27,料仓1有料感应,K2-IN3,21.0,Y21.0,料仓2吹气电磁阀,K2-OUT3
28,X28,料仓2有料感应,K2-IN4,22.0,Y22.0,料仓定3位电磁阀,K2-OUT4
29,X29,料仓3有料感应,K2-IN5,23.0,Y23.0,料仓吹3气电磁阀,K2-OUT5
30,X30,,K2-IN6,24.0,Y24.0,慢速运行,K2-OUT6
31,X31,,K2-IN7,25.0,Y25.0,清除报警,K2-OUT7
32,X32,,K2-IN8,26.0,Y26.0,,K2-OUT8
33,X33,,K2-IN9,27.0,Y27.0,,K2-OUT9
34,X34,,K2-IN10,28.0,Y28.0,,K2-OUT10
35,X35,,K2-IN11,29.0,Y29.0,,K2-OUT11
36,X36,,K2-IN12,30.0,Y30.0,,K2-OUT12
37,X37,,K2-IN13,31.0,Y31.0,,K2-OUT13
38,X38,,K2-IN14,32.0,Y32.0,,K2-OUT14
39,X39,,K2-IN15,33.0,Y33.0,,K2-OUT15
